LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,138,1975,1076.9,22,7,Alpine,08/04/2022,2022-04-09
Ararat (RC),VIC220,11845,58,1532,489.7,13,5,Ararat,08/04/2022,2022-04-09
Ballarat (C),VIC241,109505,1239,19966,1131.5,183,7,Ballarat,08/04/2022,2022-04-09
Banyule (C),VIC188,131631,1566,26462,1189.7,204,7,Banyule,08/04/2022,2022-04-09
Bass Coast (S),VIC173,36320,304,5880,837,41,6,Bass Coast,08/04/2022,2022-04-09
Baw Baw (S),VIC194,53396,556,9740,1041.3,106,7,Baw Baw,08/04/2022,2022-04-09
Bayside (C),VIC182,106862,1107,21975,1035.9,138,7,Bayside,08/04/2022,2022-04-09
Benalla (RC),VIC199,14037,90,1954,641.2,17,6,Benalla,08/04/2022,2022-04-09
Boroondara (C),VIC201,183199,1775,33221,968.9,270,6,Boroondara,08/04/2022,2022-04-09
Brimbank (C),VIC189,209523,1349,48603,643.8,165,6,Brimbank,08/04/2022,2022-04-09
Buloke (S),VIC183,6124,43,566,702.2,5,6,Buloke,08/04/2022,2022-04-09
Campaspe (S),VIC239,37622,254,6210,675.1,51,6,Campaspe,08/04/2022,2022-04-09
Cardinia (S),VIC212,112159,1229,25386,1095.8,190,7,Cardinia,08/04/2022,2022-04-09
Casey (C),VIC213,353872,3341,85348,944.1,504,6,Casey,08/04/2022,2022-04-09
Central Goldfields (S),VIC169,13186,151,1553,1145.2,17,7,Central Goldfields,08/04/2022,2022-04-09
Colac-Otway (S),VIC224,21564,179,3327,830.1,37,6,Colac-Otway,08/04/2022,2022-04-09
Corangamite (S),VIC231,16020,152,2075,948.8,23,6,Corangamite,08/04/2022,2022-04-09
Darebin (C),VIC205,164184,1697,34857,1033.6,237,7,Darebin,08/04/2022,2022-04-09
East Gippsland (S),VIC243,47316,479,5299,1012.3,65,7,East Gippsland,08/04/2022,2022-04-09
Frankston (C),VIC227,142643,1443,29126,1011.6,227,7,Frankston,08/04/2022,2022-04-09
Gannawarra (S),VIC214,10472,65,1091,620.7,16,6,Gannawarra,08/04/2022,2022-04-09
Glen Eira (C),VIC177,156511,1787,34965,1141.8,308,7,Glen Eira,08/04/2022,2022-04-09
Glenelg (S),VIC223,19674,259,2444,1316.5,32,7,Glenelg,08/04/2022,2022-04-09
Golden Plains (S),VIC230,23722,234,3908,986.4,44,6,Golden Plains,08/04/2022,2022-04-09
Greater Bendigo (C),VIC193,118093,1533,20439,1298.1,202,7,Greater Bendigo,08/04/2022,2022-04-09
Greater Dandenong (C),VIC247,168201,1159,36219,689.1,202,6,Greater Dandenong,08/04/2022,2022-04-09
Greater Geelong (C),VIC215,258934,2768,50624,1069,447,7,Greater Geelong,08/04/2022,2022-04-09
Greater Shepparton (C),VIC93,66498,434,12833,652.7,65,6,Greater Shepparton,08/04/2022,2022-04-09
Hepburn (S),VIC94,15975,137,1921,857.6,19,6,Hepburn,08/04/2022,2022-04-09
Hindmarsh (S),VIC152,5588,43,561,769.5,2,6,Hindmarsh,08/04/2022,2022-04-09
Hobsons Bay (C),VIC235,97751,904,19641,924.8,158,6,Hobsons Bay,08/04/2022,2022-04-09
Horsham (RC),VIC153,19921,179,2828,898.5,42,6,Horsham,08/04/2022,2022-04-09
Hume (C),VIC198,233471,1773,64659,759.4,273,6,Hume,08/04/2022,2022-04-09
Indigo (S),VIC191,16701,151,2127,904.1,20,6,Indigo,08/04/2022,2022-04-09
Interstate,,,29,4303,0,7,0,,08/04/2022,2022-04-09
Kingston (C),VIC226,165782,1540,33930,928.9,232,6,Kingston,08/04/2022,2022-04-09
Knox (C),VIC209,164538,1643,30552,998.6,249,6,Knox,08/04/2022,2022-04-09
Latrobe (C),VIC219,75561,872,13785,1154,106,7,Latrobe,08/04/2022,2022-04-09
Loddon (S),VIC185,7504,77,757,1026.1,11,7,Loddon,08/04/2022,2022-04-09
Macedon Ranges (S),VIC228,50231,703,8626,1399.5,122,7,Macedon Ranges,08/04/2022,2022-04-09
Manningham (C),VIC195,127573,1243,23663,974.3,191,6,Manningham,08/04/2022,2022-04-09
Mansfield (S),VIC244,9176,109,1656,1187.9,19,7,Mansfield,08/04/2022,2022-04-09
Maribyrnong (C),VIC234,93448,895,21565,957.8,120,6,Maribyrnong,08/04/2022,2022-04-09
Maroondah (C),VIC207,118558,1283,21713,1082.2,178,7,Maroondah,08/04/2022,2022-04-09
Melbourne (C),VIC132,178955,1635,40452,913.6,227,6,Melbourne,08/04/2022,2022-04-09
Melton (C),VIC237,164895,1528,47492,926.7,271,6,Melton,08/04/2022,2022-04-09
Mildura (RC),VIC222,55777,553,11000,991.4,69,6,Mildura,08/04/2022,2022-04-09
Mitchell (S),VIC211,46082,532,9521,1154.5,77,7,Mitchell,08/04/2022,2022-04-09
Moira (S),VIC190,29925,243,5026,812,42,6,Moira,08/04/2022,2022-04-09
Monash (C),VIC210,202847,1791,36268,882.9,286,6,Monash,08/04/2022,2022-04-09
Moonee Valley (C),VIC121,130294,1327,29627,1018.5,189,7,Moonee Valley,08/04/2022,2022-04-09
Moorabool (S),VIC236,35049,309,7269,881.6,49,6,Moorabool,08/04/2022,2022-04-09
Moreland (C),VIC131,185767,1937,43793,1042.7,272,7,Moreland,08/04/2022,2022-04-09
Mornington Peninsula (S),VIC204,167636,1656,32662,987.9,226,6,Mornington Peninsula,08/04/2022,2022-04-09
Mount Alexander (S),VIC105,19754,218,2493,1103.6,37,7,Mount Alexander,08/04/2022,2022-04-09
Moyne (S),VIC229,16953,135,2311,796.3,19,6,Moyne,08/04/2022,2022-04-09
Murrindindi (S),VIC250,14570,89,1924,610.8,19,6,Murrindindi,08/04/2022,2022-04-09
Nillumbik (S),VIC216,65094,753,12630,1156.8,120,7,Nillumbik,08/04/2022,2022-04-09
Northern Grampians (S),VIC166,11402,113,1639,991.1,11,6,Northern Grampians,08/04/2022,2022-04-09
Overseas,,,0,81,0,0,0,,08/04/2022,2022-04-09
Overseas Traveller,,,0,621,0,0,0,,08/04/2022,2022-04-09
Port Phillip (C),VIC208,115601,1153,25762,997.4,162,6,Port Phillip,08/04/2022,2022-04-09
Pyrenees (S),VIC217,7472,43,928,575.5,6,6,Pyrenees,08/04/2022,2022-04-09
Queenscliffe (B),VIC238,2940,29,536,986.4,5,6,Queenscliffe,08/04/2022,2022-04-09
South Gippsland (S),VIC178,29914,346,4105,1156.6,38,7,South Gippsland,08/04/2022,2022-04-09
Southern Grampians (S),VIC233,16100,121,2154,751.6,14,6,Southern Grampians,08/04/2022,2022-04-09
Stonnington (C),VIC203,117768,1104,24600,937.4,164,6,Stonnington,08/04/2022,2022-04-09
Strathbogie (S),VIC110,10781,73,1436,677.1,13,6,Strathbogie,08/04/2022,2022-04-09
Surf Coast (S),VIC225,33456,488,7553,1458.6,90,7,Surf Coast,08/04/2022,2022-04-09
Swan Hill (RC),VIC180,20649,222,3775,1075.1,38,7,Swan Hill,08/04/2022,2022-04-09
Towong (S),VIC187,6040,41,595,678.8,6,6,Towong,08/04/2022,2022-04-09
Unincorporated Vic,,,6,95,0,1,0,,08/04/2022,2022-04-09
Unknown,,,82,6235,0,7,0,,08/04/2022,2022-04-09
Wangaratta (RC),VIC186,29187,229,4629,784.6,34,6,Wangaratta,08/04/2022,2022-04-09
Warrnambool (C),VIC179,35181,368,5957,1046,53,7,Warrnambool,08/04/2022,2022-04-09
Wellington (S),VIC218,44380,484,6020,1090.6,77,7,Wellington,08/04/2022,2022-04-09
West Wimmera (S),VIC232,3841,21,260,546.7,2,6,West Wimmera,08/04/2022,2022-04-09
Whitehorse (C),VIC196,178739,1740,28948,973.5,252,6,Whitehorse,08/04/2022,2022-04-09
Whittlesea (C),VIC197,230238,2330,57153,1012,342,7,Whittlesea,08/04/2022,2022-04-09
Wodonga (C),VIC192,42083,467,7223,1109.7,77,7,Wodonga,08/04/2022,2022-04-09
Wyndham (C),VIC221,270487,2157,66704,797.5,337,6,Wyndham,08/04/2022,2022-04-09
Yarra (C),VIC202,101495,994,23652,979.4,121,6,Yarra,08/04/2022,2022-04-09
Yarra Ranges (S),VIC206,159462,1803,29080,1130.7,271,7,Yarra Ranges,08/04/2022,2022-04-09
Yarriambiack (S),VIC200,6639,42,678,632.6,6,6,Yarriambiack,08/04/2022,2022-04-09
