postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,367,10635,966.3,57,6,06/03/2022,2022-03-07
3001,0,0,0,0,0,0,06/03/2022,2022-03-07
3002,4957,27,811,544.7,4,6,06/03/2022,2022-03-07
3003,5516,62,1892,1124,7,7,06/03/2022,2022-03-07
3004,9311,53,2344,569.2,5,6,06/03/2022,2022-03-07
3005,523,0,0,0,0,0,06/03/2022,2022-03-07
3006,18811,131,4922,696.4,19,6,06/03/2022,2022-03-07
3008,10438,75,2756,718.5,13,6,06/03/2022,2022-03-07
3010,1595,2,3,125.4,0,4,06/03/2022,2022-03-07
3011,21464,96,4657,447.3,11,5,06/03/2022,2022-03-07
3012,26295,141,5479,536.2,24,6,06/03/2022,2022-03-07
3013,14967,105,2776,701.5,14,6,06/03/2022,2022-03-07
3015,17472,131,3248,749.8,17,6,06/03/2022,2022-03-07
3016,15558,110,2491,707,16,6,06/03/2022,2022-03-07
3018,12685,60,1782,473,7,5,06/03/2022,2022-03-07
3019,9199,34,2293,369.6,8,5,06/03/2022,2022-03-07
3020,44784,143,9663,319.3,27,5,06/03/2022,2022-03-07
3021,54190,131,11831,241.7,24,5,06/03/2022,2022-03-07
3022,3102,18,714,580.3,5,6,06/03/2022,2022-03-07
3023,63974,310,15723,484.6,44,5,06/03/2022,2022-03-07
3024,23852,160,6942,670.8,20,6,06/03/2022,2022-03-07
3025,12155,32,2834,263.3,7,5,06/03/2022,2022-03-07
3026,72,32,2212,44444.4,6,7,06/03/2022,2022-03-07
3027,6650,36,1862,541.4,3,6,06/03/2022,2022-03-07
3028,29198,131,4828,448.7,25,5,06/03/2022,2022-03-07
3029,93946,519,27666,552.4,69,6,06/03/2022,2022-03-07
3030,100311,572,21188,570.2,86,6,06/03/2022,2022-03-07
3031,18533,93,3523,501.8,13,6,06/03/2022,2022-03-07
3032,29449,176,5980,597.6,25,6,06/03/2022,2022-03-07
3033,14512,65,2890,447.9,11,5,06/03/2022,2022-03-07
3034,11633,61,2535,524.4,19,6,06/03/2022,2022-03-07
3036,5921,37,1215,624.9,5,6,06/03/2022,2022-03-07
3037,51156,292,11893,570.8,44,6,06/03/2022,2022-03-07
3038,27258,146,5486,535.6,17,6,06/03/2022,2022-03-07
3039,14252,105,3084,736.7,8,6,06/03/2022,2022-03-07
3040,25939,164,5291,632.3,28,6,06/03/2022,2022-03-07
3041,12412,82,2588,660.7,18,6,06/03/2022,2022-03-07
3042,15762,79,3335,501.2,11,6,06/03/2022,2022-03-07
3043,17715,96,3804,541.9,10,6,06/03/2022,2022-03-07
3044,27116,249,5675,918.3,24,6,06/03/2022,2022-03-07
3045,100,2,79,2000,0,7,06/03/2022,2022-03-07
3046,34061,156,8414,458,16,5,06/03/2022,2022-03-07
3047,20901,61,5555,291.9,8,5,06/03/2022,2022-03-07
3048,18025,44,4539,244.1,3,5,06/03/2022,2022-03-07
3049,9266,64,2329,690.7,8,6,06/03/2022,2022-03-07
3050,119,0,0,0,0,0,06/03/2022,2022-03-07
3051,14939,86,2948,575.7,17,6,06/03/2022,2022-03-07
3052,5697,210,1589,3686.2,21,7,06/03/2022,2022-03-07
3053,18538,184,3663,992.6,22,6,06/03/2022,2022-03-07
3054,8426,36,1588,427.2,1,5,06/03/2022,2022-03-07
3055,14160,98,2696,692.1,14,6,06/03/2022,2022-03-07
3056,24475,158,5073,645.6,19,6,06/03/2022,2022-03-07
3057,11502,73,2657,634.7,10,6,06/03/2022,2022-03-07
3058,33783,217,6827,642.3,25,6,06/03/2022,2022-03-07
3059,15466,101,5160,653,17,6,06/03/2022,2022-03-07
3060,14040,67,3316,477.2,12,5,06/03/2022,2022-03-07
3061,5059,18,1378,355.8,4,5,06/03/2022,2022-03-07
3062,0,1,4,0,0,0,06/03/2022,2022-03-07
3063,574,1,92,174.2,0,4,06/03/2022,2022-03-07
3064,75458,549,28350,727.6,77,6,06/03/2022,2022-03-07
3065,10447,63,2347,603,6,6,06/03/2022,2022-03-07
3066,8512,60,2094,704.9,8,6,06/03/2022,2022-03-07
3067,8199,47,1749,573.2,3,6,06/03/2022,2022-03-07
3068,18665,114,3661,610.8,19,6,06/03/2022,2022-03-07
3070,24567,196,4530,797.8,28,6,06/03/2022,2022-03-07
3071,18569,142,3577,764.7,15,6,06/03/2022,2022-03-07
3072,32848,223,6301,678.9,40,6,06/03/2022,2022-03-07
3073,50479,246,9408,487.3,30,5,06/03/2022,2022-03-07
3074,20522,57,4310,277.8,6,5,06/03/2022,2022-03-07
3075,22594,98,5050,433.7,11,5,06/03/2022,2022-03-07
3076,32395,172,7515,530.9,17,6,06/03/2022,2022-03-07
3078,11638,95,1951,816.3,8,6,06/03/2022,2022-03-07
3079,15990,131,2615,819.3,17,6,06/03/2022,2022-03-07
3081,13424,85,2633,633.2,16,6,06/03/2022,2022-03-07
