postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,577,14860,1519.3,105,7,26/04/2022,2022-04-27
3001,0,0,0,0,0,0,26/04/2022,2022-04-27
3002,4957,51,1232,1028.8,9,7,26/04/2022,2022-04-27
3003,5516,109,2662,1976.1,23,7,26/04/2022,2022-04-27
3004,9311,137,3252,1471.4,31,7,26/04/2022,2022-04-27
3005,523,0,0,0,0,0,26/04/2022,2022-04-27
3006,18811,231,6721,1228,51,7,26/04/2022,2022-04-27
3008,10438,143,3745,1370,28,7,26/04/2022,2022-04-27
3010,1595,0,3,0,0,0,26/04/2022,2022-04-27
3011,21464,219,6414,1020.3,49,7,26/04/2022,2022-04-27
3012,26295,240,7642,912.7,57,6,26/04/2022,2022-04-27
3013,14967,145,4252,968.8,34,6,26/04/2022,2022-04-27
3015,17472,189,4870,1081.7,44,7,26/04/2022,2022-04-27
3016,15558,147,3721,944.9,32,6,26/04/2022,2022-04-27
3018,12685,88,2678,693.7,29,6,26/04/2022,2022-04-27
3019,9199,51,2769,554.4,6,6,26/04/2022,2022-04-27
3020,44784,261,11763,582.8,38,6,26/04/2022,2022-04-27
3021,54190,250,13964,461.3,40,5,26/04/2022,2022-04-27
3022,3102,23,910,741.5,11,6,26/04/2022,2022-04-27
3023,63974,453,19418,708.1,96,6,26/04/2022,2022-04-27
3024,23852,283,8882,1186.5,107,7,26/04/2022,2022-04-27
3025,12155,101,3658,830.9,13,6,26/04/2022,2022-04-27
3026,72,57,2696,79166.7,18,7,26/04/2022,2022-04-27
3027,6650,78,2451,1172.9,18,7,26/04/2022,2022-04-27
3028,29198,218,6634,746.6,43,6,26/04/2022,2022-04-27
3029,93946,797,33751,848.4,177,6,26/04/2022,2022-04-27
3030,100311,937,28174,934.1,303,6,26/04/2022,2022-04-27
3031,18533,174,4970,938.9,38,6,26/04/2022,2022-04-27
3032,29449,259,8282,879.5,60,6,26/04/2022,2022-04-27
3033,14512,105,3873,723.5,30,6,26/04/2022,2022-04-27
3034,11633,77,3287,661.9,9,6,26/04/2022,2022-04-27
3036,5921,42,1586,709.3,2,6,26/04/2022,2022-04-27
3037,51156,353,14981,690,84,6,26/04/2022,2022-04-27
3038,27258,193,7142,708,35,6,26/04/2022,2022-04-27
3039,14252,127,4324,891.1,25,6,26/04/2022,2022-04-27
3040,25939,276,7357,1064,45,7,26/04/2022,2022-04-27
3041,12412,91,3535,733.2,22,6,26/04/2022,2022-04-27
3042,15762,137,4480,869.2,28,6,26/04/2022,2022-04-27
3043,17715,138,5000,779,19,6,26/04/2022,2022-04-27
3044,27116,252,7954,929.3,55,6,26/04/2022,2022-04-27
3045,100,4,102,4000,3,7,26/04/2022,2022-04-27
3046,34061,276,10641,810.3,57,6,26/04/2022,2022-04-27
3047,20901,83,6310,397.1,7,5,26/04/2022,2022-04-27
3048,18025,69,5145,382.8,19,5,26/04/2022,2022-04-27
3049,9266,91,2975,982.1,19,6,26/04/2022,2022-04-27
3050,119,0,0,0,0,0,26/04/2022,2022-04-27
3051,14939,152,4174,1017.5,29,7,26/04/2022,2022-04-27
3052,5697,68,2193,1193.6,11,7,26/04/2022,2022-04-27
3053,18538,167,5112,900.9,34,6,26/04/2022,2022-04-27
3054,8426,74,2291,878.2,17,6,26/04/2022,2022-04-27
3055,14160,135,3983,953.4,23,6,26/04/2022,2022-04-27
3056,24475,293,7537,1197.1,64,7,26/04/2022,2022-04-27
3057,11502,147,3992,1278,37,7,26/04/2022,2022-04-27
3058,33783,369,9988,1092.3,69,7,26/04/2022,2022-04-27
3059,15466,145,6411,937.5,25,6,26/04/2022,2022-04-27
3060,14040,82,4014,584,9,6,26/04/2022,2022-04-27
3061,5059,13,1519,257,1,5,26/04/2022,2022-04-27
3062,0,0,4,0,0,0,26/04/2022,2022-04-27
3063,574,5,133,871.1,1,6,26/04/2022,2022-04-27
3064,75458,584,33425,773.9,106,6,26/04/2022,2022-04-27
3065,10447,102,3300,976.4,26,6,26/04/2022,2022-04-27
3066,8512,97,2895,1139.6,20,7,26/04/2022,2022-04-27
3067,8199,106,2564,1292.8,17,7,26/04/2022,2022-04-27
3068,18665,180,5503,964.4,37,6,26/04/2022,2022-04-27
3070,24567,292,7135,1188.6,76,7,26/04/2022,2022-04-27
3071,18569,196,5359,1055.5,40,7,26/04/2022,2022-04-27
3072,32848,365,9032,1111.2,73,7,26/04/2022,2022-04-27
3073,50479,442,12882,875.6,90,6,26/04/2022,2022-04-27
3074,20522,117,5355,570.1,22,6,26/04/2022,2022-04-27
3075,22594,130,6362,575.4,20,6,26/04/2022,2022-04-27
3076,32395,297,9552,916.8,68,6,26/04/2022,2022-04-27
3078,11638,144,3198,1237.3,31,7,26/04/2022,2022-04-27
3079,15990,153,4139,956.8,38,6,26/04/2022,2022-04-27
3081,13424,103,3620,767.3,20,6,26/04/2022,2022-04-27
3082,29713,227,7446,764,55,6,26/04/2022,2022-04-27
3083,31526,237,7767,751.8,42,6,26/04/2022,2022-04-27
3084,25514,302,6324,1183.7,65,7,26/04/2022,2022-04-27
3085,13882,157,3216,1131,23,7,26/04/2022,2022-04-27
3086,908,0,5,0,0,0,26/04/2022,2022-04-27
3087,9033,91,2152,1007.4,13,7,26/04/2022,2022-04-27
3088,26890,237,6571,881.4,59,6,26/04/2022,2022-04-27
3089,11739,100,3118,851.9,19,6,26/04/2022,2022-04-27
3090,2362,14,712,592.7,4,6,26/04/2022,2022-04-27
3091,1585,9,333,567.8,0,6,26/04/2022,2022-04-27
3093,3891,36,1000,925.2,12,6,26/04/2022,2022-04-27
3094,8963,84,2087,937.2,8,6,26/04/2022,2022-04-27
3095,27770,263,6569,947.1,38,6,26/04/2022,2022-04-27
3096,1966,16,458,813.8,3,6,26/04/2022,2022-04-27
3097,1443,8,293,554.4,1,6,26/04/2022,2022-04-27
3099,4877,33,995,676.6,1,6,26/04/2022,2022-04-27
3101,24604,227,5645,922.6,40,6,26/04/2022,2022-04-27
3102,6634,70,1626,1055.2,15,7,26/04/2022,2022-04-27
3103,15343,148,2983,964.6,36,6,26/04/2022,2022-04-27
3104,20404,168,4430,823.4,30,6,26/04/2022,2022-04-27
3105,10877,84,2781,772.3,19,6,26/04/2022,2022-04-27
3106,16620,132,3611,794.2,28,6,26/04/2022,2022-04-27
3107,13557,128,3177,944.2,28,6,26/04/2022,2022-04-27
3108,20823,218,5235,1046.9,42,7,26/04/2022,2022-04-27
3109,28357,258,6139,909.8,43,6,26/04/2022,2022-04-27
3111,12348,81,2740,656,20,6,26/04/2022,2022-04-27
3113,8460,58,2035,685.6,16,6,26/04/2022,2022-04-27
3114,3823,22,866,575.5,5,6,26/04/2022,2022-04-27
3115,3799,34,872,895,7,6,26/04/2022,2022-04-27
3116,9872,116,2624,1175,15,7,26/04/2022,2022-04-27
3121,30502,279,9369,914.7,56,6,26/04/2022,2022-04-27
3122,23508,207,5604,880.6,47,6,26/04/2022,2022-04-27
3123,14319,103,3566,719.3,24,6,26/04/2022,2022-04-27
3124,22091,220,5071,995.9,40,6,26/04/2022,2022-04-27
3125,15021,110,3243,732.3,24,6,26/04/2022,2022-04-27
3126,8060,52,1600,645.2,13,6,26/04/2022,2022-04-27
3127,18445,177,3954,959.6,35,6,26/04/2022,2022-04-27
3128,19832,188,4483,948,39,6,26/04/2022,2022-04-27
3129,17374,141,3593,811.6,32,6,26/04/2022,2022-04-27
3130,32171,351,6885,1091,63,7,26/04/2022,2022-04-27
3131,22499,188,4521,835.6,44,6,26/04/2022,2022-04-27
3132,16148,152,3492,941.3,22,6,26/04/2022,2022-04-27
3133,22119,199,4170,899.7,44,6,26/04/2022,2022-04-27
3134,32782,254,7429,774.8,51,6,26/04/2022,2022-04-27
3135,19954,186,4472,932.1,33,6,26/04/2022,2022-04-27
3136,44373,441,9837,993.8,89,6,26/04/2022,2022-04-27
3137,13872,107,3317,771.3,25,6,26/04/2022,2022-04-27
3138,21964,235,5447,1069.9,53,7,26/04/2022,2022-04-27
3139,13722,100,2941,728.8,26,6,26/04/2022,2022-04-27
3140,16532,159,3902,961.8,29,6,26/04/2022,2022-04-27
3141,25149,243,6951,966.2,55,6,26/04/2022,2022-04-27
3142,12912,93,2774,720.3,24,6,26/04/2022,2022-04-27
3143,9052,65,2279,718.1,11,6,26/04/2022,2022-04-27
3144,10885,87,2635,799.3,21,6,26/04/2022,2022-04-27
3145,23294,236,5720,1013.1,51,7,26/04/2022,2022-04-27
3146,25256,242,6252,958.2,54,6,26/04/2022,2022-04-27
3147,14634,132,3521,902,30,6,26/04/2022,2022-04-27
3148,8643,94,2185,1087.6,17,7,26/04/2022,2022-04-27
3149,33612,305,6887,907.4,65,6,26/04/2022,2022-04-27
3150,60082,559,12075,930.4,107,6,26/04/2022,2022-04-27
3151,10269,90,1991,876.4,14,6,26/04/2022,2022-04-27
3152,33089,276,7166,834.1,63,6,26/04/2022,2022-04-27
3153,20552,189,4763,919.6,47,6,26/04/2022,2022-04-27
3154,4418,40,1057,905.4,6,6,26/04/2022,2022-04-27
3155,22193,216,5095,973.3,43,6,26/04/2022,2022-04-27
3156,37458,304,8631,811.6,47,6,26/04/2022,2022-04-27
3158,6648,51,1571,767.1,10,6,26/04/2022,2022-04-27
3159,2652,21,543,791.9,8,6,26/04/2022,2022-04-27
3160,9014,64,2092,710,15,6,26/04/2022,2022-04-27
3161,15271,179,4883,1172.2,31,7,26/04/2022,2022-04-27
3162,17452,184,5140,1054.3,28,7,26/04/2022,2022-04-27
3163,32355,301,7856,930.3,86,6,26/04/2022,2022-04-27
3164,0,0,0,0,0,0,26/04/2022,2022-04-27
3165,27636,231,7818,835.9,48,6,26/04/2022,2022-04-27
3166,23759,213,6151,896.5,51,6,26/04/2022,2022-04-27
3167,9259,88,2383,950.4,23,6,26/04/2022,2022-04-27
3168,20200,194,5439,960.4,45,6,26/04/2022,2022-04-27
3169,20122,157,4968,780.2,45,6,26/04/2022,2022-04-27
3170,19370,247,4861,1275.2,36,7,26/04/2022,2022-04-27
3171,21713,160,5240,736.9,32,6,26/04/2022,2022-04-27
3172,23091,193,5571,835.8,34,6,26/04/2022,2022-04-27
3173,25785,212,7665,822.2,41,6,26/04/2022,2022-04-27
3174,38465,274,9889,712.3,60,6,26/04/2022,2022-04-27
3175,53297,343,13739,643.6,64,6,26/04/2022,2022-04-27
3177,11305,48,2736,424.6,9,5,26/04/2022,2022-04-27
3178,33669,256,7741,760.3,65,6,26/04/2022,2022-04-27
3179,6019,56,1397,930.4,17,6,26/04/2022,2022-04-27
3180,7462,63,1572,844.3,22,6,26/04/2022,2022-04-27
3181,20267,189,6206,932.6,39,6,26/04/2022,2022-04-27
3182,23394,189,6946,807.9,35,6,26/04/2022,2022-04-27
3183,18491,148,5857,800.4,32,6,26/04/2022,2022-04-27
3184,15547,137,4146,881.2,30,6,26/04/2022,2022-04-27
3185,12932,141,3717,1090.3,38,7,26/04/2022,2022-04-27
3186,23258,170,5583,730.9,36,6,26/04/2022,2022-04-27
3187,15997,156,4322,975.2,35,6,26/04/2022,2022-04-27
3188,18082,148,4512,818.5,34,6,26/04/2022,2022-04-27
3189,5894,58,1727,984.1,22,6,26/04/2022,2022-04-27
3190,10457,94,3052,898.9,9,6,26/04/2022,2022-04-27
3191,10242,83,2591,810.4,23,6,26/04/2022,2022-04-27
3192,22292,227,6005,1018.3,48,7,26/04/2022,2022-04-27
3193,19505,148,4606,758.8,26,6,26/04/2022,2022-04-27
3194,12965,123,3243,948.7,34,6,26/04/2022,2022-04-27
