LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date,last7days_new
Alpine (S),VIC242,12814,12,4261,93.6,3,3,Alpine,2022-09-22,2022-09-23,15
Ararat (RC),VIC220,11845,9,3746,76,3,3,Ararat,2022-09-22,2022-09-23,11
Ballarat (C),VIC241,109505,186,46992,169.9,19,4,Ballarat,2022-09-22,2022-09-23,219
Banyule (C),VIC188,131631,159,53269,120.8,25,4,Banyule,2022-09-22,2022-09-23,173
Bass Coast (S),VIC173,36320,32,13261,88.1,7,3,Bass Coast,2022-09-22,2022-09-23,53
Baw Baw (S),VIC194,53396,54,20491,101.1,6,4,Baw Baw,2022-09-22,2022-09-23,67
Bayside (C),VIC182,106862,92,40656,86.1,17,3,Bayside,2022-09-22,2022-09-23,113
Benalla (RC),VIC199,14037,33,4513,235.1,1,5,Benalla,2022-09-22,2022-09-23,41
Boroondara (C),VIC201,183199,176,66712,96.1,29,3,Boroondara,2022-09-22,2022-09-23,220
Brimbank (C),VIC189,209523,173,75698,82.6,29,3,Brimbank,2022-09-22,2022-09-23,214
Buloke (S),VIC183,6124,10,1475,163.3,1,4,Buloke,2022-09-22,2022-09-23,13
Campaspe (S),VIC239,37622,65,12350,172.8,10,4,Campaspe,2022-09-22,2022-09-23,71
Cardinia (S),VIC212,112159,127,47214,113.2,15,4,Cardinia,2022-09-22,2022-09-23,151
Casey (C),VIC213,353872,358,148217,101.2,39,4,Casey,2022-09-22,2022-09-23,436
Central Goldfields (S),VIC169,13186,14,3873,106.2,2,4,Central Goldfields,2022-09-22,2022-09-23,17
Colac-Otway (S),VIC224,21564,13,6704,60.3,2,3,Colac-Otway,2022-09-22,2022-09-23,14
Corangamite (S),VIC231,16020,15,4345,93.6,1,3,Corangamite,2022-09-22,2022-09-23,16
Darebin (C),VIC205,164184,188,66637,114.5,24,4,Darebin,2022-09-22,2022-09-23,211
East Gippsland (S),VIC243,47316,67,13557,141.6,10,4,East Gippsland,2022-09-22,2022-09-23,81
Frankston (C),VIC227,142643,167,56311,117.1,27,4,Frankston,2022-09-22,2022-09-23,215
Gannawarra (S),VIC214,10472,14,2720,133.7,2,4,Gannawarra,2022-09-22,2022-09-23,15
Glen Eira (C),VIC177,156511,170,63681,108.6,27,4,Glen Eira,2022-09-22,2022-09-23,203
Glenelg (S),VIC223,19674,28,5770,142.3,2,4,Glenelg,2022-09-22,2022-09-23,27
Golden Plains (S),VIC230,23722,31,8964,130.7,4,4,Golden Plains,2022-09-22,2022-09-23,32
Greater Bendigo (C),VIC193,118093,167,47865,141.4,29,4,Greater Bendigo,2022-09-22,2022-09-23,198
Greater Dandenong (C),VIC247,168201,152,58393,90.4,22,3,Greater Dandenong,2022-09-22,2022-09-23,181
Greater Geelong (C),VIC215,258934,422,108929,163,60,4,Greater Geelong,2022-09-22,2022-09-23,494
Greater Shepparton (C),VIC93,66498,121,25400,182,17,4,Greater Shepparton,2022-09-22,2022-09-23,143
Hepburn (S),VIC94,15975,25,4840,156.5,3,4,Hepburn,2022-09-22,2022-09-23,26
Hindmarsh (S),VIC152,5588,5,1646,89.5,0,3,Hindmarsh,2022-09-22,2022-09-23,5
Hobsons Bay (C),VIC235,97751,103,37666,105.4,18,4,Hobsons Bay,2022-09-22,2022-09-23,117
Horsham (RC),VIC153,19921,35,7245,175.7,1,4,Horsham,2022-09-22,2022-09-23,39
Hume (C),VIC198,233471,243,98909,104.1,39,4,Hume,2022-09-22,2022-09-23,287
Indigo (S),VIC191,16701,12,5591,71.9,3,3,Indigo,2022-09-22,2022-09-23,22
Interstate,,,20,6137,0,2,0,,2022-09-22,2022-09-23,23
Kingston (C),VIC226,165782,173,65054,104.4,18,4,Kingston,2022-09-22,2022-09-23,202
Knox (C),VIC209,164538,231,64786,140.4,31,4,Knox,2022-09-22,2022-09-23,278
Latrobe (C),VIC219,75561,136,28753,180,15,4,Latrobe,2022-09-22,2022-09-23,170
Loddon (S),VIC185,7504,30,1895,399.8,4,5,Loddon,2022-09-22,2022-09-23,30
Macedon Ranges (S),VIC228,50231,77,18442,153.3,10,4,Macedon Ranges,2022-09-22,2022-09-23,86
Manningham (C),VIC195,127573,141,48207,110.5,18,4,Manningham,2022-09-22,2022-09-23,167
Mansfield (S),VIC244,9176,4,3253,43.6,1,2,Mansfield,2022-09-22,2022-09-23,6
Maribyrnong (C),VIC234,93448,88,39221,94.2,4,3,Maribyrnong,2022-09-22,2022-09-23,111
Maroondah (C),VIC207,118558,198,47752,167,21,4,Maroondah,2022-09-22,2022-09-23,229
Melbourne (C),VIC132,178955,207,72374,115.7,34,4,Melbourne,2022-09-22,2022-09-23,252
Melton (C),VIC237,164895,188,79284,114,27,4,Melton,2022-09-22,2022-09-23,235
Mildura (RC),VIC222,55777,71,21050,127.3,9,4,Mildura,2022-09-22,2022-09-23,75
Mitchell (S),VIC211,46082,63,19013,136.7,4,4,Mitchell,2022-09-22,2022-09-23,79
Moira (S),VIC190,29925,34,9592,113.6,4,4,Moira,2022-09-22,2022-09-23,41
Monash (C),VIC210,202847,270,75804,133.1,38,4,Monash,2022-09-22,2022-09-23,327
