LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,42,4186,327.8,3,5,Alpine,2022-08-27,2022-08-28
Ararat (RC),VIC220,11845,37,3667,312.4,1,5,Ararat,2022-08-27,2022-08-28
Ballarat (C),VIC241,109505,441,45875,402.7,51,5,Ballarat,2022-08-27,2022-08-28
Banyule (C),VIC188,131631,368,52421,279.6,53,5,Banyule,2022-08-27,2022-08-28
Bass Coast (S),VIC173,36320,83,12990,228.5,11,5,Bass Coast,2022-08-27,2022-08-28
Baw Baw (S),VIC194,53396,144,20095,269.7,15,5,Baw Baw,2022-08-27,2022-08-28
Bayside (C),VIC182,106862,231,40054,216.2,21,5,Bayside,2022-08-27,2022-08-28
Benalla (RC),VIC199,14037,78,4287,555.7,10,6,Benalla,2022-08-27,2022-08-28
Boroondara (C),VIC201,183199,387,65602,211.2,39,5,Boroondara,2022-08-27,2022-08-28
Brimbank (C),VIC189,209523,423,74597,201.9,69,5,Brimbank,2022-08-27,2022-08-28
Buloke (S),VIC183,6124,25,1417,408.2,4,5,Buloke,2022-08-27,2022-08-28
Campaspe (S),VIC239,37622,138,12017,366.8,8,5,Campaspe,2022-08-27,2022-08-28
Cardinia (S),VIC212,112159,308,46405,274.6,30,5,Cardinia,2022-08-27,2022-08-28
Casey (C),VIC213,353872,889,145721,251.2,112,5,Casey,2022-08-27,2022-08-28
Central Goldfields (S),VIC169,13186,36,3779,273,3,5,Central Goldfields,2022-08-27,2022-08-28
Colac-Otway (S),VIC224,21564,67,6591,310.7,5,5,Colac-Otway,2022-08-27,2022-08-28
Corangamite (S),VIC231,16020,13,4278,81.1,3,3,Corangamite,2022-08-27,2022-08-28
Darebin (C),VIC205,164184,385,65513,234.5,46,5,Darebin,2022-08-27,2022-08-28
East Gippsland (S),VIC243,47316,101,13174,213.5,7,5,East Gippsland,2022-08-27,2022-08-28
Frankston (C),VIC227,142643,502,55133,351.9,72,5,Frankston,2022-08-27,2022-08-28
Gannawarra (S),VIC214,10472,19,2630,181.4,4,4,Gannawarra,2022-08-27,2022-08-28
