postcode,population,active,cases,rate,new,band,data_date,file_processed_date,last7days_new
3000,37979,109,23845,287,20,5,2022-11-03,2022-11-04,125
3001,0,0,0,0,0,0,2022-11-03,2022-11-04,0
3002,4957,8,2168,161.4,0,4,2022-11-03,2022-11-04,11
3003,5516,18,4303,326.3,1,5,2022-11-03,2022-11-04,19
3004,9311,20,5259,214.8,3,5,2022-11-03,2022-11-04,27
3005,523,0,0,0,0,0,2022-11-03,2022-11-04,0
3006,18811,37,10807,196.7,10,4,2022-11-03,2022-11-04,35
3008,10438,28,6208,268.3,5,5,2022-11-03,2022-11-04,34
3010,1595,0,4,0,0,0,2022-11-03,2022-11-04,0
3011,21464,43,10901,200.3,10,5,2022-11-03,2022-11-04,46
3012,26295,35,12743,133.1,8,4,2022-11-03,2022-11-04,40
3013,14967,21,7420,140.3,2,4,2022-11-03,2022-11-04,26
3015,17472,21,8531,120.2,5,4,2022-11-03,2022-11-04,29
3016,15558,21,6744,135,6,4,2022-11-03,2022-11-04,32
3018,12685,19,5142,149.8,6,4,2022-11-03,2022-11-04,23
3019,9199,6,4057,65.2,2,3,2022-11-03,2022-11-04,7
3020,44784,54,17683,120.6,12,4,2022-11-03,2022-11-04,56
3021,54190,42,19132,77.5,13,3,2022-11-03,2022-11-04,47
3022,3102,4,1361,128.9,1,4,2022-11-03,2022-11-04,5
3023,63974,76,28602,118.8,16,4,2022-11-03,2022-11-04,93
3024,23852,50,15095,209.6,9,5,2022-11-03,2022-11-04,60
3025,12155,19,5652,156.3,4,4,2022-11-03,2022-11-04,19
3026,72,9,3897,12500,1,7,2022-11-03,2022-11-04,10
3027,6650,10,3994,150.4,0,4,2022-11-03,2022-11-04,10
3028,29198,50,11499,171.2,13,4,2022-11-03,2022-11-04,52
3029,93946,136,53215,144.8,28,4,2022-11-03,2022-11-04,161
3030,100311,167,49821,166.5,32,4,2022-11-03,2022-11-04,188
3031,18533,38,8461,205,15,5,2022-11-03,2022-11-04,48
3032,29449,50,13621,169.8,10,4,2022-11-03,2022-11-04,57
3033,14512,32,6296,220.5,0,5,2022-11-03,2022-11-04,34
3034,11633,16,5144,137.5,2,4,2022-11-03,2022-11-04,18
3036,5921,11,2289,185.8,5,4,2022-11-03,2022-11-04,11
3037,51156,43,22412,84.1,11,3,2022-11-03,2022-11-04,53
3038,27258,25,10771,91.7,7,3,2022-11-03,2022-11-04,30
3039,14252,32,7261,224.5,4,5,2022-11-03,2022-11-04,33
3040,25939,58,11852,223.6,6,5,2022-11-03,2022-11-04,67
3041,12412,20,5760,161.1,6,4,2022-11-03,2022-11-04,24
3042,15762,16,7165,101.5,4,4,2022-11-03,2022-11-04,17
3043,17715,31,7632,175,9,4,2022-11-03,2022-11-04,33
3044,27116,45,13277,166,12,4,2022-11-03,2022-11-04,52
3045,100,0,129,0,0,0,2022-11-03,2022-11-04,0
3046,34061,36,16115,105.7,6,4,2022-11-03,2022-11-04,40
3047,20901,16,8315,76.6,1,3,2022-11-03,2022-11-04,17
3048,18025,12,6685,66.6,4,3,2022-11-03,2022-11-04,13
3049,9266,12,4465,129.5,2,4,2022-11-03,2022-11-04,12
3050,119,0,2,0,0,0,2022-11-03,2022-11-04,0
3051,14939,53,7217,354.8,13,5,2022-11-03,2022-11-04,57
3052,5697,8,3553,140.4,2,4,2022-11-03,2022-11-04,8
3053,18538,41,8416,221.2,9,5,2022-11-03,2022-11-04,48
3054,8426,24,3932,284.8,7,5,2022-11-03,2022-11-04,25
3055,14160,31,6987,218.9,8,5,2022-11-03,2022-11-04,36
3056,24475,75,12630,306.4,17,5,2022-11-03,2022-11-04,85
3057,11502,24,6908,208.7,4,5,2022-11-03,2022-11-04,27
3058,33783,78,17070,230.9,20,5,2022-11-03,2022-11-04,93
3059,15466,19,9282,122.9,2,4,2022-11-03,2022-11-04,25
3060,14040,15,5584,106.8,4,4,2022-11-03,2022-11-04,17
3061,5059,7,1991,138.4,0,4,2022-11-03,2022-11-04,7
3062,0,0,6,0,0,0,2022-11-03,2022-11-04,0
3063,574,0,209,0,0,0,2022-11-03,2022-11-04,0
3064,75458,113,47752,149.8,28,4,2022-11-03,2022-11-04,121
3065,10447,26,5023,248.9,7,5,2022-11-03,2022-11-04,28
3066,8512,14,4505,164.5,6,4,2022-11-03,2022-11-04,17
3067,8199,17,4385,207.3,8,5,2022-11-03,2022-11-04,22
3068,18665,53,9620,284,17,5,2022-11-03,2022-11-04,60
3070,24567,73,12686,297.1,18,5,2022-11-03,2022-11-04,90
3071,18569,43,9327,231.6,8,5,2022-11-03,2022-11-04,46
3072,32848,87,15753,264.9,28,5,2022-11-03,2022-11-04,93
3073,50479,51,21523,101,12,4,2022-11-03,2022-11-04,60
3074,20522,10,7683,48.7,3,2,2022-11-03,2022-11-04,12
3075,22594,23,9248,101.8,5,4,2022-11-03,2022-11-04,26
3076,32395,33,14579,101.9,8,4,2022-11-03,2022-11-04,38
3078,11638,28,5857,240.6,4,5,2022-11-03,2022-11-04,31
3079,15990,33,7394,206.4,8,5,2022-11-03,2022-11-04,40
3081,13424,19,6064,141.5,3,4,2022-11-03,2022-11-04,19
3082,29713,33,12132,111.1,9,4,2022-11-03,2022-11-04,38
3083,31526,50,13178,158.6,10,4,2022-11-03,2022-11-04,54
3084,25514,50,11518,196,6,4,2022-11-03,2022-11-04,59
3085,13882,35,6152,252.1,7,5,2022-11-03,2022-11-04,36
3086,908,0,8,0,0,0,2022-11-03,2022-11-04,0
3087,9033,21,3879,232.5,2,5,2022-11-03,2022-11-04,24
3088,26890,49,11895,182.2,4,4,2022-11-03,2022-11-04,57
3089,11739,28,5590,238.5,3,5,2022-11-03,2022-11-04,31
3090,2362,6,1162,254,2,5,2022-11-03,2022-11-04,6
3091,1585,0,502,0,0,0,2022-11-03,2022-11-04,0
3093,3891,9,1711,231.3,2,5,2022-11-03,2022-11-04,9
3094,8963,25,3944,278.9,4,5,2022-11-03,2022-11-04,31
3095,27770,62,12414,223.3,15,5,2022-11-03,2022-11-04,69
3096,1966,5,813,254.3,1,5,2022-11-03,2022-11-04,5
3097,1443,2,555,138.6,0,4,2022-11-03,2022-11-04,2
3099,4877,2,1893,41,1,2,2022-11-03,2022-11-04,2
3101,24604,42,10007,170.7,11,4,2022-11-03,2022-11-04,53
3102,6634,7,2857,105.5,0,4,2022-11-03,2022-11-04,7
3103,15343,30,5628,195.5,10,4,2022-11-03,2022-11-04,34
3104,20404,49,8292,240.1,12,5,2022-11-03,2022-11-04,54
3105,10877,13,4568,119.5,1,4,2022-11-03,2022-11-04,14
3106,16620,17,6581,102.3,2,4,2022-11-03,2022-11-04,21
3107,13557,14,5680,103.3,3,4,2022-11-03,2022-11-04,16
3108,20823,37,9951,177.7,8,4,2022-11-03,2022-11-04,44
3109,28357,43,11806,151.6,15,4,2022-11-03,2022-11-04,50
3111,12348,13,5034,105.3,3,4,2022-11-03,2022-11-04,19
3113,8460,5,3624,59.1,0,3,2022-11-03,2022-11-04,7
3114,3823,8,1523,209.3,2,5,2022-11-03,2022-11-04,10
3115,3799,5,1514,131.6,0,4,2022-11-03,2022-11-04,5
3116,9872,13,4806,131.7,4,4,2022-11-03,2022-11-04,14
3121,30502,42,14333,137.7,15,4,2022-11-03,2022-11-04,46
3122,23508,38,9557,161.6,7,4,2022-11-03,2022-11-04,41
3123,14319,27,6243,188.6,8,4,2022-11-03,2022-11-04,29
3124,22091,33,9222,149.4,11,4,2022-11-03,2022-11-04,40
3125,15021,25,6000,166.4,11,4,2022-11-03,2022-11-04,29
3126,8060,15,2959,186.1,0,4,2022-11-03,2022-11-04,16
3127,18445,32,7544,173.5,7,4,2022-11-03,2022-11-04,40
3128,19832,29,8724,146.2,7,4,2022-11-03,2022-11-04,30
3129,17374,30,7081,172.7,8,4,2022-11-03,2022-11-04,34
3130,32171,67,14019,208.3,16,5,2022-11-03,2022-11-04,81
3131,22499,52,9182,231.1,11,5,2022-11-03,2022-11-04,59
3132,16148,36,7071,222.9,7,5,2022-11-03,2022-11-04,39
3133,22119,57,9192,257.7,6,5,2022-11-03,2022-11-04,66
3134,32782,69,14691,210.5,11,5,2022-11-03,2022-11-04,83
3135,19954,36,8838,180.4,4,4,2022-11-03,2022-11-04,44
3136,44373,70,19420,157.8,23,4,2022-11-03,2022-11-04,84
3137,13872,19,6317,137,4,4,2022-11-03,2022-11-04,24
3138,21964,37,9951,168.5,12,4,2022-11-03,2022-11-04,43
3139,13722,15,5088,109.3,5,4,2022-11-03,2022-11-04,15
3140,16532,25,7124,151.2,5,4,2022-11-03,2022-11-04,31
3141,25149,27,10703,107.4,4,4,2022-11-03,2022-11-04,39
3142,12912,34,4512,263.3,10,5,2022-11-03,2022-11-04,38
3143,9052,16,3718,176.8,3,4,2022-11-03,2022-11-04,19
3144,10885,25,4283,229.7,8,5,2022-11-03,2022-11-04,25
3145,23294,57,9963,244.7,17,5,2022-11-03,2022-11-04,59
3146,25256,40,10775,158.4,6,4,2022-11-03,2022-11-04,46
3147,14634,28,6525,191.3,11,4,2022-11-03,2022-11-04,32
3148,8643,10,3863,115.7,0,4,2022-11-03,2022-11-04,12
3149,33612,58,13975,172.6,12,4,2022-11-03,2022-11-04,70
3150,60082,115,24066,191.4,22,4,2022-11-03,2022-11-04,129
3151,10269,11,3980,107.1,1,4,2022-11-03,2022-11-04,13
3152,33089,77,14294,232.7,10,5,2022-11-03,2022-11-04,84
3153,20552,37,9105,180,10,4,2022-11-03,2022-11-04,42
3154,4418,3,1999,67.9,1,3,2022-11-03,2022-11-04,3
3155,22193,52,9742,234.3,4,5,2022-11-03,2022-11-04,54
3156,37458,65,16263,173.5,11,4,2022-11-03,2022-11-04,76
3158,6648,11,3000,165.5,1,4,2022-11-03,2022-11-04,14
3159,2652,8,1072,301.7,4,5,2022-11-03,2022-11-04,8
3160,9014,12,3996,133.1,2,4,2022-11-03,2022-11-04,13
3161,15271,32,7581,209.5,7,5,2022-11-03,2022-11-04,34
3162,17452,26,8211,149,2,4,2022-11-03,2022-11-04,28
3163,32355,59,13932,182.4,10,4,2022-11-03,2022-11-04,71
3164,0,0,0,0,0,0,2022-11-03,2022-11-04,0
3165,27636,51,13207,184.5,9,4,2022-11-03,2022-11-04,59
3166,23759,67,10872,282,13,5,2022-11-03,2022-11-04,73
3167,9259,13,4072,140.4,5,4,2022-11-03,2022-11-04,13
3168,20200,42,9692,207.9,9,5,2022-11-03,2022-11-04,49
3169,20122,39,8313,193.8,5,4,2022-11-03,2022-11-04,41
3170,19370,28,8360,144.6,10,4,2022-11-03,2022-11-04,29
3171,21713,22,7822,101.3,2,4,2022-11-03,2022-11-04,23
3172,23091,16,8828,69.3,4,3,2022-11-03,2022-11-04,17
3173,25785,38,11913,147.4,13,4,2022-11-03,2022-11-04,44
3174,38465,32,15144,83.2,13,3,2022-11-03,2022-11-04,34
3175,53297,74,20007,138.8,18,4,2022-11-03,2022-11-04,78
3177,11305,15,4080,132.7,2,4,2022-11-03,2022-11-04,18
3178,33669,68,14072,202,19,5,2022-11-03,2022-11-04,72
3179,6019,9,2676,149.5,2,4,2022-11-03,2022-11-04,10
3180,7462,8,3074,107.2,2,4,2022-11-03,2022-11-04,9
3181,20267,29,9255,143.1,2,4,2022-11-03,2022-11-04,30
3182,23394,32,10538,136.8,10,4,2022-11-03,2022-11-04,37
3183,18491,24,8596,129.8,5,4,2022-11-03,2022-11-04,29
3184,15547,17,6484,109.3,4,4,2022-11-03,2022-11-04,23
3185,12932,25,5876,193.3,6,4,2022-11-03,2022-11-04,25
3186,23258,31,9095,133.3,7,4,2022-11-03,2022-11-04,35
3187,15997,27,7140,168.8,4,4,2022-11-03,2022-11-04,30
3188,18082,34,7597,188,12,4,2022-11-03,2022-11-04,41
3189,5894,10,2876,169.7,1,4,2022-11-03,2022-11-04,10
3190,10457,14,5252,133.9,3,4,2022-11-03,2022-11-04,15
3191,10242,24,4548,234.3,7,5,2022-11-03,2022-11-04,25
3192,22292,63,10476,282.6,16,5,2022-11-03,2022-11-04,66
3193,19505,41,7938,210.2,8,5,2022-11-03,2022-11-04,48
3194,12965,26,5610,200.5,5,5,2022-11-03,2022-11-04,36
3195,35867,52,16176,145,9,4,2022-11-03,2022-11-04,56
3196,25329,36,11177,142.1,8,4,2022-11-03,2022-11-04,44
3197,11547,21,4605,181.9,6,4,2022-11-03,2022-11-04,21
3198,16462,26,7057,157.9,9,4,2022-11-03,2022-11-04,32
3199,54299,69,22508,127.1,12,4,2022-11-03,2022-11-04,85
3200,5759,6,2297,104.2,3,4,2022-11-03,2022-11-04,7
3201,20713,41,9219,197.9,10,4,2022-11-03,2022-11-04,44
3202,2907,3,1170,103.2,1,4,2022-11-03,2022-11-04,2
3204,30642,52,13929,169.7,14,4,2022-11-03,2022-11-04,55
3205,10919,35,5194,320.5,9,5,2022-11-03,2022-11-04,40
3206,10366,19,4213,183.3,3,4,2022-11-03,2022-11-04,20
3207,16180,31,7602,191.6,7,4,2022-11-03,2022-11-04,34
3211,1319,0,478,0,0,0,2022-11-03,2022-11-04,0
3212,16650,36,8345,216.2,5,5,2022-11-03,2022-11-04,38
3213,4032,0,0,0,0,0,2022-11-03,2022-11-04,0
3214,23960,28,9012,116.9,5,4,2022-11-03,2022-11-04,31
3215,20615,42,8788,203.7,9,5,2022-11-03,2022-11-04,48
3216,56285,92,25299,163.5,19,4,2022-11-03,2022-11-04,102
3217,6607,41,10789,620.6,8,6,2022-11-03,2022-11-04,42
3218,13438,20,6464,148.8,4,4,2022-11-03,2022-11-04,26
3219,19719,42,8024,213,12,5,2022-11-03,2022-11-04,46
3220,16352,30,7052,183.5,7,4,2022-11-03,2022-11-04,35
3221,754,2,288,265.3,0,5,2022-11-03,2022-11-04,2
3222,14962,23,6724,153.7,0,4,2022-11-03,2022-11-04,29
3223,7401,26,3027,351.3,8,5,2022-11-03,2022-11-04,32
3224,14187,26,6108,183.3,8,4,2022-11-03,2022-11-04,30
3225,4058,6,2016,147.9,2,4,2022-11-03,2022-11-04,6
3226,14161,28,7440,197.7,9,4,2022-11-03,2022-11-04,31
3227,4821,7,2053,145.2,0,4,2022-11-03,2022-11-04,9
3228,17939,53,9967,295.4,11,5,2022-11-03,2022-11-04,61
3230,2548,7,1265,274.7,1,5,2022-11-03,2022-11-04,7
3231,1257,5,672,397.8,0,5,2022-11-03,2022-11-04,6
3232,1111,2,530,180,0,4,2022-11-03,2022-11-04,3
3233,2029,3,626,147.9,1,4,2022-11-03,2022-11-04,4
3234,179,0,0,0,0,0,2022-11-03,2022-11-04,0
3235,380,0,158,0,0,0,2022-11-03,2022-11-04,0
3236,230,0,60,0,0,0,2022-11-03,2022-11-04,0
3237,218,0,49,0,0,0,2022-11-03,2022-11-04,0
3238,219,0,59,0,0,0,2022-11-03,2022-11-04,0
3239,423,0,111,0,0,0,2022-11-03,2022-11-04,0
3240,2026,2,880,98.7,0,3,2022-11-03,2022-11-04,2
3241,2565,4,951,155.9,3,4,2022-11-03,2022-11-04,5
3242,828,0,255,0,0,0,2022-11-03,2022-11-04,0
3243,357,1,121,280.1,0,5,2022-11-03,2022-11-04,0
3249,3204,0,814,0,0,0,2022-11-03,2022-11-04,0
3250,12250,11,4287,89.8,5,3,2022-11-03,2022-11-04,13
3251,522,0,139,0,0,0,2022-11-03,2022-11-04,0
3254,307,0,127,0,0,0,2022-11-03,2022-11-04,0
3260,4768,8,1297,167.8,1,4,2022-11-03,2022-11-04,10
3264,2289,2,738,87.4,0,3,2022-11-03,2022-11-04,4
3265,2614,2,754,76.5,1,3,2022-11-03,2022-11-04,2
3266,3071,3,889,97.7,0,3,2022-11-03,2022-11-04,4
3267,245,0,49,0,0,0,2022-11-03,2022-11-04,0
3268,2601,0,710,0,0,0,2022-11-03,2022-11-04,0
3269,729,0,195,0,0,0,2022-11-03,2022-11-04,0
3270,251,0,79,0,0,0,2022-11-03,2022-11-04,0
3271,193,0,29,0,0,0,2022-11-03,2022-11-04,0
3272,1533,1,405,65.2,0,3,2022-11-03,2022-11-04,1
3273,146,0,25,0,0,0,2022-11-03,2022-11-04,0
3274,242,0,58,0,0,0,2022-11-03,2022-11-04,0
3275,426,1,185,234.7,0,5,2022-11-03,2022-11-04,1
3276,479,0,131,0,0,0,2022-11-03,2022-11-04,0
3277,1922,2,581,104.1,0,4,2022-11-03,2022-11-04,3
3278,315,1,107,317.5,0,5,2022-11-03,2022-11-04,1
3279,291,0,108,0,0,0,2022-11-03,2022-11-04,0
3280,31568,79,12744,250.3,10,5,2022-11-03,2022-11-04,91
3281,1702,1,696,58.8,0,3,2022-11-03,2022-11-04,1
3282,2363,7,935,296.2,3,5,2022-11-03,2022-11-04,8
3283,1361,2,447,147,1,4,2022-11-03,2022-11-04,3
3284,3437,7,1321,203.7,1,5,2022-11-03,2022-11-04,7
3285,1210,1,421,82.6,1,3,2022-11-03,2022-11-04,1
3286,564,3,132,531.9,0,6,2022-11-03,2022-11-04,3
3287,436,0,112,0,0,0,2022-11-03,2022-11-04,0
3289,757,0,200,0,0,0,2022-11-03,2022-11-04,0
3292,187,7,31,3743.3,0,7,2022-11-03,2022-11-04,7
3293,302,0,57,0,0,0,2022-11-03,2022-11-04,0
3294,954,3,294,314.5,0,5,2022-11-03,2022-11-04,3
3300,10087,21,3698,208.2,3,5,2022-11-03,2022-11-04,23
3301,1212,3,389,247.5,1,5,2022-11-03,2022-11-04,3
3302,371,0,101,0,0,0,2022-11-03,2022-11-04,0
3303,338,1,67,295.9,0,5,2022-11-03,2022-11-04,1
3304,2725,4,679,146.8,0,4,2022-11-03,2022-11-04,3
3305,12815,34,4225,265.3,0,5,2022-11-03,2022-11-04,39
3309,126,0,28,0,0,0,2022-11-03,2022-11-04,0
3310,272,1,56,367.6,0,5,2022-11-03,2022-11-04,1
3311,1696,2,471,117.9,2,4,2022-11-03,2022-11-04,2
3312,1033,1,168,96.8,0,3,2022-11-03,2022-11-04,1
3314,525,0,166,0,0,0,2022-11-03,2022-11-04,0
3315,1629,0,452,0,0,0,2022-11-03,2022-11-04,1
3317,197,2,65,1015.2,1,7,2022-11-03,2022-11-04,2
3318,1265,0,303,0,0,0,2022-11-03,2022-11-04,0
3319,345,0,65,0,0,0,2022-11-03,2022-11-04,0
3321,1519,8,682,526.7,2,6,2022-11-03,2022-11-04,8
3322,176,0,53,0,0,0,2022-11-03,2022-11-04,0
3323,88,0,21,0,0,0,2022-11-03,2022-11-04,0
3324,531,2,113,376.6,1,5,2022-11-03,2022-11-04,2
3325,480,2,96,416.7,0,5,2022-11-03,2022-11-04,2
3328,1720,0,912,0,0,0,2022-11-03,2022-11-04,0
3329,284,0,77,0,0,0,2022-11-03,2022-11-04,0
3330,222,0,51,0,0,0,2022-11-03,2022-11-04,0
3331,5996,9,2906,150.1,2,4,2022-11-03,2022-11-04,9
3332,1013,0,413,0,0,0,2022-11-03,2022-11-04,0
3333,827,0,251,0,0,0,2022-11-03,2022-11-04,0
3334,566,1,135,176.7,0,4,2022-11-03,2022-11-04,1
3335,5859,18,4790,307.2,3,5,2022-11-03,2022-11-04,19
3336,0,0,0,0,0,0,2022-11-03,2022-11-04,0
3337,36455,44,17031,120.7,5,4,2022-11-03,2022-11-04,48
3338,23419,42,16516,179.3,10,4,2022-11-03,2022-11-04,52
3340,21123,24,10151,113.6,3,4,2022-11-03,2022-11-04,29
3341,1666,2,606,120,0,4,2022-11-03,2022-11-04,3
3342,3440,8,1403,232.6,1,5,2022-11-03,2022-11-04,8
3345,1151,5,486,434.4,2,5,2022-11-03,2022-11-04,6
3350,59147,122,28434,206.3,32,5,2022-11-03,2022-11-04,142
3351,8169,12,3166,146.9,0,4,2022-11-03,2022-11-04,13
3352,16000,24,7246,150,3,4,2022-11-03,2022-11-04,30
3355,13016,23,4803,176.7,7,4,2022-11-03,2022-11-04,26
3356,16322,18,6608,110.3,6,4,2022-11-03,2022-11-04,24
3357,3714,2,1605,53.9,0,3,2022-11-03,2022-11-04,4
3360,765,1,237,130.7,0,4,2022-11-03,2022-11-04,1
3361,680,0,189,0,0,0,2022-11-03,2022-11-04,0
3363,3476,9,1145,258.9,2,5,2022-11-03,2022-11-04,10
3364,2149,5,674,232.7,0,5,2022-11-03,2022-11-04,6
3370,1782,2,556,112.2,0,4,2022-11-03,2022-11-04,4
3371,990,1,266,101,1,4,2022-11-03,2022-11-04,1
3373,2291,4,885,174.6,4,4,2022-11-03,2022-11-04,5
3374,399,0,142,0,0,0,2022-11-03,2022-11-04,0
3375,206,1,99,485.4,0,5,2022-11-03,2022-11-04,1
3377,9414,21,3269,223.1,3,5,2022-11-03,2022-11-04,21
3378,149,0,36,0,0,0,2022-11-03,2022-11-04,0
3379,801,1,143,124.8,0,4,2022-11-03,2022-11-04,1
3380,6033,15,2380,248.6,3,5,2022-11-03,2022-11-04,15
3381,1211,7,463,578,0,6,2022-11-03,2022-11-04,8
3384,547,0,187,0,0,0,2022-11-03,2022-11-04,0
3385,517,0,141,0,0,0,2022-11-03,2022-11-04,0
3387,315,0,79,0,0,0,2022-11-03,2022-11-04,0
3388,562,1,149,177.9,0,4,2022-11-03,2022-11-04,2
3390,914,0,288,0,0,0,2022-11-03,2022-11-04,0
3391,172,0,18,0,0,0,2022-11-03,2022-11-04,0
3392,581,0,163,0,0,0,2022-11-03,2022-11-04,0
3393,2684,4,840,149,1,4,2022-11-03,2022-11-04,5
3395,361,0,80,0,0,0,2022-11-03,2022-11-04,0
3396,738,1,169,135.5,0,4,2022-11-03,2022-11-04,1
3400,14541,21,5709,144.4,5,4,2022-11-03,2022-11-04,22
3401,4418,5,1521,113.2,0,4,2022-11-03,2022-11-04,5
3407,422,0,128,0,0,0,2022-11-03,2022-11-04,0
3409,937,4,258,426.9,1,5,2022-11-03,2022-11-04,4
3412,299,0,99,0,0,0,2022-11-03,2022-11-04,0
3413,220,0,35,0,0,0,2022-11-03,2022-11-04,0
3414,1824,2,457,109.6,2,4,2022-11-03,2022-11-04,2
3415,40,0,17,0,0,0,2022-11-03,2022-11-04,0
3418,2771,5,966,180.4,1,4,2022-11-03,2022-11-04,5
3419,806,0,200,0,0,0,2022-11-03,2022-11-04,0
3420,277,0,61,0,0,0,2022-11-03,2022-11-04,0
3423,480,0,104,0,0,0,2022-11-03,2022-11-04,0
3424,769,0,215,0,0,0,2022-11-03,2022-11-04,0
3427,2761,1,2564,36.2,0,2,2022-11-03,2022-11-04,1
3428,680,0,246,0,0,0,2022-11-03,2022-11-04,0
3429,36296,45,16121,124,10,4,2022-11-03,2022-11-04,53
3430,322,0,80,0,0,0,2022-11-03,2022-11-04,0
3431,3945,4,1691,101.4,2,4,2022-11-03,2022-11-04,5
3432,196,0,50,0,0,0,2022-11-03,2022-11-04,0
3433,216,0,83,0,0,0,2022-11-03,2022-11-04,0
3434,5070,6,2153,118.3,0,4,2022-11-03,2022-11-04,6
3435,2878,1,1103,34.7,0,2,2022-11-03,2022-11-04,2
3437,10445,15,4441,143.6,4,4,2022-11-03,2022-11-04,17
3438,2386,2,1077,83.8,1,3,2022-11-03,2022-11-04,3
3440,2040,4,794,196.1,0,4,2022-11-03,2022-11-04,5
3441,1337,2,494,149.6,3,4,2022-11-03,2022-11-04,3
3442,7463,21,3220,281.4,5,5,2022-11-03,2022-11-04,20
3444,9197,18,3449,195.7,5,4,2022-11-03,2022-11-04,19
3446,1028,2,374,194.6,0,4,2022-11-03,2022-11-04,3
3447,448,3,164,669.6,1,6,2022-11-03,2022-11-04,4
3448,878,0,271,0,0,0,2022-11-03,2022-11-04,0
3450,6838,10,2673,146.2,1,4,2022-11-03,2022-11-04,12
3451,5654,13,2068,229.9,1,5,2022-11-03,2022-11-04,15
3453,1725,5,716,289.9,1,5,2022-11-03,2022-11-04,5
3458,1947,6,773,308.2,1,5,2022-11-03,2022-11-04,8
3460,2566,7,808,272.8,3,5,2022-11-03,2022-11-04,10
3461,4150,6,1313,144.6,2,4,2022-11-03,2022-11-04,8
3462,1173,2,404,170.5,1,4,2022-11-03,2022-11-04,2
3463,2454,9,675,366.7,2,5,2022-11-03,2022-11-04,9
3464,1118,0,417,0,0,0,2022-11-03,2022-11-04,0
3465,9770,6,3025,61.4,2,3,2022-11-03,2022-11-04,10
3467,1196,1,329,83.6,0,3,2022-11-03,2022-11-04,1
3468,284,0,52,0,0,0,2022-11-03,2022-11-04,0
3469,278,0,73,0,0,0,2022-11-03,2022-11-04,0
3472,1482,0,326,0,0,0,2022-11-03,2022-11-04,0
3475,348,0,78,0,0,0,2022-11-03,2022-11-04,0
3477,824,1,190,121.4,1,4,2022-11-03,2022-11-04,2
3478,2457,1,689,40.7,1,2,2022-11-03,2022-11-04,1
3480,1862,0,503,0,0,0,2022-11-03,2022-11-04,0
3482,169,0,26,0,0,0,2022-11-03,2022-11-04,0
3483,888,0,194,0,0,0,2022-11-03,2022-11-04,0
3485,302,0,63,0,0,0,2022-11-03,2022-11-04,0
3487,96,0,20,0,0,0,2022-11-03,2022-11-04,0
3488,110,0,26,0,0,0,2022-11-03,2022-11-04,0
3489,53,0,15,0,0,0,2022-11-03,2022-11-04,0
3490,1290,0,321,0,0,0,2022-11-03,2022-11-04,0
3491,133,0,19,0,0,0,2022-11-03,2022-11-04,0
3494,661,0,155,0,0,0,2022-11-03,2022-11-04,0
3496,6224,3,2194,48.2,0,2,2022-11-03,2022-11-04,2
3498,5324,8,2120,150.3,1,4,2022-11-03,2022-11-04,7
3500,32738,51,13954,155.8,9,4,2022-11-03,2022-11-04,48
3501,1939,2,846,103.1,2,4,2022-11-03,2022-11-04,3
3505,4829,6,1711,124.2,0,4,2022-11-03,2022-11-04,7
3506,37,0,10,0,0,0,2022-11-03,2022-11-04,0
3507,157,0,45,0,0,0,2022-11-03,2022-11-04,0
3509,231,0,55,0,0,0,2022-11-03,2022-11-04,0
3512,371,0,99,0,0,0,2022-11-03,2022-11-04,0
3515,1940,0,1079,0,0,0,2022-11-03,2022-11-04,1
3516,694,1,226,144.1,0,4,2022-11-03,2022-11-04,1
3517,1416,2,412,141.2,1,4,2022-11-03,2022-11-04,2
3518,1307,1,295,76.5,0,3,2022-11-03,2022-11-04,2
3520,179,0,32,0,0,0,2022-11-03,2022-11-04,0
3521,660,0,263,0,0,0,2022-11-03,2022-11-04,0
3522,334,0,82,0,0,0,2022-11-03,2022-11-04,0
3523,3619,2,1048,55.3,0,3,2022-11-03,2022-11-04,3
3525,1302,0,331,0,0,0,2022-11-03,2022-11-04,0
3527,785,1,178,127.4,0,4,2022-11-03,2022-11-04,1
3529,120,0,23,0,0,0,2022-11-03,2022-11-04,0
3530,125,0,20,0,0,0,2022-11-03,2022-11-04,0
3531,191,0,62,0,0,0,2022-11-03,2022-11-04,0
3533,779,0,163,0,0,0,2022-11-03,2022-11-04,0
3537,1042,0,247,0,0,0,2022-11-03,2022-11-04,0
3540,286,0,66,0,0,0,2022-11-03,2022-11-04,0
3542,155,0,31,0,0,0,2022-11-03,2022-11-04,0
3544,249,0,63,0,0,0,2022-11-03,2022-11-04,0
3546,403,1,107,248.1,0,5,2022-11-03,2022-11-04,1
3549,3527,0,1205,0,0,0,2022-11-03,2022-11-04,0
3550,40341,68,16496,168.6,17,4,2022-11-03,2022-11-04,76
3551,29564,76,14857,257.1,9,5,2022-11-03,2022-11-04,85
3555,19688,38,7886,193,12,4,2022-11-03,2022-11-04,49
3556,13087,22,5461,168.1,3,4,2022-11-03,2022-11-04,20
3557,785,3,296,382.2,0,5,2022-11-03,2022-11-04,3
3558,916,1,255,109.2,0,4,2022-11-03,2022-11-04,1
