id,clinicId,shortName,location,address,suburb,addressFull,directions,lat,lng,lastUpdated,clinicStatus,hours,waitPeriod,waitPeriodDisp,shortNameClean,Accessible_Parking,Accessible_Toilets,Accessible_Mobility,Accessible_Auslan_EasyEnglish,Accessible_Assistance_Animals,Accessible_TIS_Available,Translated_Material,opening_hours,opening_hours_details,walk_in_hours_details,bookingsTable,walkinsTable,waitTimeYn
37,BAL03,East Grampians Health Service - Ararat,East Grampians Health Service - Ararat,5 Girdleston Street,Ararat,"5 Girdleston Street, Ararat",,-37.27890105,142.9321884,6/10/2021,Open,,-5,Wait time to be confirmed,East Grampians Health Service - Ararat,Yes,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon-Fri 8:30am-3:50pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,Yes
36,BAL02,Mercure Ballarat Hotel and Convention Centre,Mercure Ballarat Hotel and Convention Centre,613 Main Road,Ballarat,"613 Main Road, Ballarat",Enter the car park from Burdeu Street (at 525 Main Road) and follow signage to the clinic. Parking also available at Zagames (639 Main Road).,-37.57923062,143.86846,4/16/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Mercure Ballarat Hotel and Convention Centre,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Sat 8:30am-3:40pm, Sun Closed. Walk ins accepted 8:30am-3:00pm",,Walk ins accepted 8:30am-3:00pm,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
8,ALB09,Beechworth Vaccination Hub,Bantick House,52 Sydney Road,Beechworth,"52 Sydney Road, Beechworth",,-36.34957666,146.6915228,7/16/2021,Open,,-5,Wait time to be confirmed,Beechworth Vaccination Hub,Yes,Yes,Yes,,Yes,Yes,Yes,"Mon-Wed Closed, Thu-Fri 9am-12pm, Sat-Sun Closed",,,Bookings accepted for all ages,Not accepting walk ins,No
40,BEN02,Bendigo Health COVID-19 Vaccination Clinic,Bendigo Health COVID-19 Vaccination Clinic,113-133 Mollison Street,Bendigo,"113-133 Mollison Street, Bendigo",Street parking available along Mollison Street and McLaren Street. Parking also available on McLaren Street Vline car park.,-36.76282426,144.2837797,5/24/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-1,Walk ins not currently available,Bendigo Health COVID-19 Vaccination Clinic,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,Mon-Sun 10am-5pm.  ,, ,Bookings accepted for all ages,Walk ins accepted for ages 60 and over,Yes
58,MON06,St John of God Hospital - Berwick,St John of God Hospital - Berwick,75 Kangan Drive,Berwick,"75 Kangan Drive, Berwick",,-38.04501094,145.3449185,5/7/2021,Open,,-5,Wait time to be confirmed,St John of God Hospital - Berwick,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon Closed, Tue-Sat 8:30am-4pm, Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
6,ALB07,Bright Vaccination Hub,Alpine Health Bright,32-36 Cobden Street,Bright,"32-36 Cobden Street, Bright",,-36.73333429,146.9664806,7/2/2021,Open,,-5,Wait time to be confirmed,Bright Vaccination Hub,,Yes,Yes,Easy English available,Yes,Yes,Yes,"Mon 10am-3:30pm, Tue-Sun Closed",,,Bookings accepted for ages 60 and over,Not accepting walk ins,No
16,C1911,Broadmeadows Town Hall,DPV Health - Broadmeadows Town Hall,10 Dimboola Road,Broadmeadows,"10 Dimboola Road, Broadmeadows",,-37.68256643,144.917528,5/28/2021,Open,refer to the tables below for walk ins age limits (check the top of webpage for current walk ins wait time and status),-5,Wait time to be confirmed,Broadmeadows Town Hall,Yes,Yes,Yes,Auslan and Easy English available,Yes,Yes,Yes,"Mon-Fri 9:30am-4:30pm, Sat-Sun Closed",,,Bookings accepted for ages 60 and over,Walk ins accepted for ages 60 and over,No
53,AUS17,Bundoora - Latrobe University Clinic,Bundoora - Latrobe University,45 Ring Rd,Bundoora,"45 Ring Rd, Bundoora",Free Parking in La Trobe University Car Park 6 (off Ring Rd),-37.72175372,145.0577356,2/10/2021,Open,,-5,Wait time to be confirmed,Bundoora - Latrobe University Clinic,,,,,,,,Mon-Sun 8am-3pm,,,,,No
51,AUS13,Campbellfield Ford Complex Drive Through COVID-19 Vaccination Clinic,Campbellfield Drive Through,358 Barry Road,Campbellfield ,"358 Barry Road, Campbellfield ",,-37.6563773,144.949597,12/9/2021,Open,,-1,Walk ins not currently available,Campbellfield Ford Complex Drive Through COVID-19 Vaccination Clinic,Yes,,,Auslan and Easy English available,Yes,Yes,No,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,Yes
52,AUS18,Campbellfield Ford Complex Indoor COVID-19 Vaccination Clinic,Campbellfield Indoor,358 Barry Road,Campbellfield ,"358 Barry Road, Campbellfield ",,-37.6563773,144.949597,12/9/2021,Open,,-1,Walk ins not currently available,Campbellfield Ford Complex Indoor COVID-19 Vaccination Clinic,Yes,,,Auslan and Easy English available,Yes,Yes,No,Mon-Sun 8:30am-4pm,,,Bookings accepted for all ages,Not accepting walk ins,Yes
